0,0,0,0,0,0,0,0,363000
0,0,0,0,0,0,0,0,213000
0,0,0,0,0,0,0,0,357000
0,0,0,0,0,0,0,0,246000
0,0,0,0,0,0,0,0,252000
0,0,0,0,0,0,0,0,531000
0,0,0,0,0,0,0,150000,363000
0,0,0,0,0,0,150000,357000,384000
0,0,0,0,0,150000,357000,363000,624000
0,0,0,0,150000,357000,363000,213000,468000
0,0,0,150000,357000,363000,213000,357000,369000
0,0,150000,357000,363000,213000,357000,246000,132000
0,150000,357000,363000,213000,357000,246000,252000,477000
150000,357000,363000,213000,357000,246000,252000,531000,339000
357000,363000,213000,357000,246000,252000,531000,363000,273000
363000,213000,357000,246000,252000,531000,363000,384000,426000
213000,357000,246000,252000,531000,363000,384000,624000,486000
357000,246000,252000,531000,363000,384000,624000,468000,468000
246000,252000,531000,363000,384000,624000,468000,369000,210000
252000,531000,363000,384000,624000,468000,369000,132000,375000
531000,363000,384000,624000,468000,369000,132000,477000,474000
363000,384000,624000,468000,369000,132000,477000,339000,393000
384000,624000,468000,369000,132000,477000,339000,273000,339000
624000,468000,369000,132000,477000,339000,273000,426000,333000
468000,369000,132000,477000,339000,273000,426000,486000,231000
369000,132000,477000,339000,273000,426000,486000,468000,183000
132000,477000,339000,273000,426000,486000,468000,210000,66000
477000,339000,273000,426000,486000,468000,210000,375000,312000
339000,273000,426000,486000,468000,210000,375000,474000,180000
273000,426000,486000,468000,210000,375000,474000,393000,312000
426000,486000,468000,210000,375000,474000,393000,339000,117000
486000,468000,210000,375000,474000,393000,339000,333000,408000
468000,210000,375000,474000,393000,339000,333000,231000,453000
210000,375000,474000,393000,339000,333000,231000,183000,339000
375000,474000,393000,339000,333000,231000,183000,66000,384000
474000,393000,339000,333000,231000,183000,66000,312000,435000
393000,339000,333000,231000,183000,66000,312000,180000,291000
339000,333000,231000,183000,66000,312000,180000,312000,129000
333000,231000,183000,66000,312000,180000,312000,117000,336000
231000,183000,66000,312000,180000,312000,117000,408000,273000
183000,66000,312000,180000,312000,117000,408000,453000,294000
66000,312000,180000,312000,117000,408000,453000,339000,225000
312000,180000,312000,117000,408000,453000,339000,384000,447000
180000,312000,117000,408000,453000,339000,384000,435000,315000
312000,117000,408000,453000,339000,384000,435000,291000,504000
117000,408000,453000,339000,384000,435000,291000,129000,351000
408000,453000,339000,384000,435000,291000,129000,336000,411000
453000,339000,384000,435000,291000,129000,336000,273000,249000
339000,384000,435000,291000,129000,336000,273000,294000,426000
384000,435000,291000,129000,336000,273000,294000,225000,441000
435000,291000,129000,336000,273000,294000,225000,447000,300000
291000,129000,336000,273000,294000,225000,447000,315000,528000
129000,336000,273000,294000,225000,447000,315000,504000,324000
336000,273000,294000,225000,447000,315000,504000,351000,276000
273000,294000,225000,447000,315000,504000,351000,411000,492000
294000,225000,447000,315000,504000,351000,411000,249000,420000
225000,447000,315000,504000,351000,411000,249000,426000,255000
447000,315000,504000,351000,411000,249000,426000,441000,429000
315000,504000,351000,411000,249000,426000,441000,300000,618000
504000,351000,411000,249000,426000,441000,300000,528000,342000
