,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,15000.0,15000.0,30000.0,0.0,15000.0,31666.66666666667,0.0,0.0
1,15000.0,15000.0,30000.0,0.0,15000.0,31666.66666666667,0.0,36666.66666666666,10000.0
2,15000.0,30000.0,0.0,15000.0,31666.66666666667,0.0,36666.66666666666,28333.33333333333,15000.0
3,30000.0,0.0,15000.0,31666.66666666667,0.0,36666.66666666666,28333.33333333333,0.0,15000.0
4,0.0,15000.0,31666.66666666667,0.0,36666.66666666666,28333.33333333333,0.0,0.0,10000.0
5,15000.0,31666.66666666667,0.0,36666.66666666666,28333.33333333333,0.0,0.0,5000.0,0.0
6,31666.66666666667,0.0,36666.66666666666,28333.33333333333,0.0,0.0,5000.0,0.0,10000.0
7,0.0,36666.66666666666,28333.33333333333,0.0,0.0,5000.0,0.0,0.0,15000.0
8,36666.66666666666,28333.33333333333,0.0,0.0,5000.0,0.0,0.0,0.0,10000.0
9,28333.33333333333,0.0,0.0,5000.0,0.0,0.0,0.0,10000.0,20000.0
10,0.0,0.0,5000.0,0.0,0.0,0.0,10000.0,15000.0,5000.0
11,0.0,5000.0,0.0,0.0,0.0,10000.0,15000.0,15000.0,10000.0
12,5000.0,0.0,0.0,0.0,10000.0,15000.0,15000.0,10000.0,10000.0
13,0.0,0.0,0.0,10000.0,15000.0,15000.0,10000.0,0.0,0.0
14,0.0,0.0,10000.0,15000.0,15000.0,10000.0,0.0,10000.0,15000.0
15,0.0,10000.0,15000.0,15000.0,10000.0,0.0,10000.0,15000.0,10000.0
16,10000.0,15000.0,15000.0,10000.0,0.0,10000.0,15000.0,10000.0,0.0
17,15000.0,15000.0,10000.0,0.0,10000.0,15000.0,10000.0,20000.0,0.0
18,15000.0,10000.0,0.0,10000.0,15000.0,10000.0,20000.0,5000.0,0.0
19,10000.0,0.0,10000.0,15000.0,10000.0,20000.0,5000.0,10000.0,10000.0
20,0.0,10000.0,15000.0,10000.0,20000.0,5000.0,10000.0,10000.0,15000.0
21,10000.0,15000.0,10000.0,20000.0,5000.0,10000.0,10000.0,0.0,0.0
22,15000.0,10000.0,20000.0,5000.0,10000.0,10000.0,0.0,15000.0,0.0
23,10000.0,20000.0,5000.0,10000.0,10000.0,0.0,15000.0,10000.0,0.0
24,20000.0,5000.0,10000.0,10000.0,0.0,15000.0,10000.0,0.0,0.0
25,5000.0,10000.0,10000.0,0.0,15000.0,10000.0,0.0,0.0,0.0
26,10000.0,10000.0,0.0,15000.0,10000.0,0.0,0.0,0.0,20000.0
27,10000.0,0.0,15000.0,10000.0,0.0,0.0,0.0,10000.0,20000.0
28,0.0,15000.0,10000.0,0.0,0.0,0.0,10000.0,15000.0,0.0
29,15000.0,10000.0,0.0,0.0,0.0,10000.0,15000.0,0.0,25000.0
30,10000.0,0.0,0.0,0.0,10000.0,15000.0,0.0,0.0,0.0
31,0.0,0.0,0.0,10000.0,15000.0,0.0,0.0,0.0,15000.0
32,0.0,0.0,10000.0,15000.0,0.0,0.0,0.0,0.0,0.0
33,0.0,10000.0,15000.0,0.0,0.0,0.0,0.0,0.0,5000.0
