,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,24000.0,109333.33333333331,176000.0,0.0,168000.0,120000.0,64000.0,0.0,56000.0
1,109333.33333333331,176000.0,0.0,168000.0,120000.0,64000.0,0.0,152000.0,48000.0
2,176000.0,0.0,168000.0,120000.0,64000.0,0.0,152000.0,192000.0,168000.0
3,0.0,168000.0,120000.0,64000.0,0.0,152000.0,192000.0,88000.0,136000.0
4,168000.0,120000.0,64000.0,0.0,152000.0,192000.0,88000.0,250666.66666666663,128000.0
5,120000.0,64000.0,0.0,152000.0,192000.0,88000.0,250666.66666666663,0.0,80000.0
6,64000.0,0.0,152000.0,192000.0,88000.0,250666.66666666663,0.0,0.0,16000.0
7,0.0,152000.0,192000.0,88000.0,250666.66666666663,0.0,0.0,0.0,96000.0
8,152000.0,192000.0,88000.0,250666.66666666663,0.0,0.0,0.0,56000.0,117333.33333333331
9,192000.0,88000.0,250666.66666666663,0.0,0.0,0.0,56000.0,48000.0,184000.0
10,88000.0,250666.66666666663,0.0,0.0,0.0,56000.0,48000.0,168000.0,144000.0
11,250666.66666666663,0.0,0.0,0.0,56000.0,48000.0,168000.0,136000.0,8000.0
12,0.0,0.0,0.0,56000.0,48000.0,168000.0,136000.0,128000.0,16000.0
13,0.0,0.0,56000.0,48000.0,168000.0,136000.0,128000.0,80000.0,32000.0
14,0.0,56000.0,48000.0,168000.0,136000.0,128000.0,80000.0,16000.0,8000.0
15,56000.0,48000.0,168000.0,136000.0,128000.0,80000.0,16000.0,96000.0,56000.0
16,48000.0,168000.0,136000.0,128000.0,80000.0,16000.0,96000.0,117333.33333333331,112000.0
17,168000.0,136000.0,128000.0,80000.0,16000.0,96000.0,117333.33333333331,184000.0,32000.0
18,136000.0,128000.0,80000.0,16000.0,96000.0,117333.33333333331,184000.0,144000.0,152000.0
19,128000.0,80000.0,16000.0,96000.0,117333.33333333331,184000.0,144000.0,8000.0,72000.0
20,80000.0,16000.0,96000.0,117333.33333333331,184000.0,144000.0,8000.0,16000.0,152000.0
21,16000.0,96000.0,117333.33333333331,184000.0,144000.0,8000.0,16000.0,32000.0,88000.0
22,96000.0,117333.33333333331,184000.0,144000.0,8000.0,16000.0,32000.0,8000.0,48000.0
23,117333.33333333331,184000.0,144000.0,8000.0,16000.0,32000.0,8000.0,56000.0,152000.0
24,184000.0,144000.0,8000.0,16000.0,32000.0,8000.0,56000.0,112000.0,8000.0
25,144000.0,8000.0,16000.0,32000.0,8000.0,56000.0,112000.0,32000.0,48000.0
26,8000.0,16000.0,32000.0,8000.0,56000.0,112000.0,32000.0,152000.0,0.0
